"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"4_1","4","1","2022_10_10_09-46-57_144.jpg",8,23,4,20,0,0,12,0,0,0,0,1,18,0,10,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_464.jpg",2,9,0,0,0,0,28,0,0,0,0,0,61,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_400.jpg",7,59,0,9,0,0,2,0,0,0,1,3,1,0,18,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_96.jpg",10,31,2,15,4,0,13,0,0,0,0,0,18,0,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_112.jpg",10,26,0,6,4,0,4,0,0,0,0,0,39,0,5,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_64.jpg",21,3,2,8,0,0,12,1,0,0,0,0,35,0,12,1,0,0,0
"4_1","4","1","2022_10_10_09-46-57_248.jpg",3,8,0,0,0,0,40,0,0,0,0,4,45,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_360.jpg",15,4,7,1,18,0,8,0,0,0,0,2,42,0,1,0,0,1,1
"4_1","4","1","2022_10_10_09-46-57_280.jpg",2,13,10,11,26,0,4,0,0,0,0,0,20,0,14,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_376.jpg",14,15,2,0,0,0,7,0,0,0,0,0,60,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_168.jpg",4,29,5,42,0,0,14,0,0,0,0,2,0,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_88.jpg",12,26,4,26,0,0,8,0,0,0,0,0,20,0,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_32.jpg",6,17,2,13,0,0,7,0,0,0,0,0,41,0,14,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_160.jpg",1,41,0,8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_256.jpg",16,27,1,25,0,0,5,0,0,0,0,8,10,0,7,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_432.jpg",12,23,0,0,9,0,1,0,0,0,0,1,51,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_120.jpg",7,21,0,4,2,0,6,0,0,0,0,0,54,0,5,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_152.jpg",8,19,2,34,0,0,22,0,0,0,0,4,0,0,9,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_448.jpg",11,19,0,1,0,0,22,0,0,0,2,0,45,0,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_496.jpg",12,26,1,5,0,0,5,0,0,0,6,0,42,0,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_240.jpg",10,40,0,1,0,0,7,0,0,0,0,1,30,0,4,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_336.jpg",24,14,0,0,7,0,8,0,0,0,0,1,40,0,4,0,0,0,0
